"","subject","sex","age","session","trial","condition","baited_side","interest_period","max_x","min_x","median_x","mean_x","baitedX"
"79","Arko3","m","19",2,5,"throwing","r","signaling",209.86,35.86,117.64,127.66265060241,35.86
"80","Arko3","m","19",2,6,"throwing","r","addressing",144.13,126.43,132.665,134.4545,126.43
"81","Arko3","m","19",2,6,"throwing","r","baiting",198.17,119.49,168.515,163.950102040816,119.49
"82","Arko3","m","19",2,6,"throwing","r","bowl_displacement",326.47,67.8,166.88,172.773174603175,67.8
"83","Arko3","m","19",2,6,"throwing","r","choice",309.89,64.29,165.645,166.755227272727,64.29
"84","Arko3","m","19",2,6,"throwing","r","signaling",226.92,64.72,116.05,142.098705882353,64.72
"85","Arko3","m","19",2,7,"throwing","l","addressing",147.56,118.89,124.58,126.27,147.56
"86","Arko3","m","19",2,7,"throwing","l","baiting",152.08,94.15,124.01,123.166443298969,152.08
"87","Arko3","m","19",2,7,"throwing","l","bowl_displacement",228.89,29.91,126.87,118.723294797688,228.89
"88","Arko3","m","19",2,7,"throwing","l","choice",294.89,4.43,83.48,106.56358974359,294.89
"89","Arko3","m","19",2,7,"throwing","l","signaling",246.76,64.69,142.05,144.260410958904,246.76
"90","Arko3","m","19",2,8,"control","l","addressing",187.89,183.35,184.98,185.315833333333,187.89
"91","Arko3","m","19",2,8,"control","l","baiting",195.4,99.35,171.23,171.001111111111,195.4
"92","Arko3","m","19",2,8,"control","l","bowl_displacement",248.26,82.87,176.04,164.505350318471,248.26
"93","Arko3","m","19",2,8,"control","l","choice",210.96,58.53,136.42,145.546769230769,210.96
"94","Arko3","m","19",2,8,"control","l","signaling",196.56,180.73,192.64,192.404696969697,196.56
"95","Arko3","m","19",2,9,"p+g","r","addressing",170.38,134.26,154.865,155.452857142857,134.26
"96","Arko3","m","19",2,9,"p+g","r","baiting",189.56,87.32,124.91,123.449346733668,87.32
"97","Arko3","m","19",2,9,"p+g","r","bowl_displacement",202.95,62.55,117.07,115.768707482993,62.55
"98","Arko3","m","19",2,9,"p+g","r","choice",345.88,17.37,125.23,155.082307692308,17.37
"99","Arko3","m","19",2,9,"p+g","r","signaling",173.59,59.07,103.39,104.841134020619,59.07
"100","Arko3","m","19",2,10,"p+g","l","addressing",110.07,100.51,105.44,105.563636363636,110.07
"101","Arko3","m","19",2,10,"p+g","l","baiting",202.99,118.37,152.33,152.264570135747,202.99
"102","Arko3","m","19",2,10,"p+g","l","bowl_displacement",293.91,58.33,126.86,135.316137931034,293.91
"103","Arko3","m","19",2,10,"p+g","l","choice",347.06,2.98,160.08,166.875035460993,347.06
"104","Arko3","m","19",2,10,"p+g","l","signaling",231.63,37.24,187.63,151.579693877551,231.63
"105","Arko3","m","19",2,11,"p+g","r","addressing",255.47,243.09,247.44,247.835555555556,243.09
