"","X","yarbus_file","trial","interest_period","subject","session","aoi","fixation_time","breed","age","sex","neutering_status","birth_date","test_date","condition","baited_side","correct","chosen_side","dark_green_bowl_side","ET_data","comment","chosen_bowl","correct_bowl","ip_duration","prop_fixation_time","experimenter"
"78",78,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"bowl_displacement","Arko3",1,"hand/darkg_bowl",536,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",4938,0.108545970028352,"kg"
"79",79,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"bowl_displacement","Arko3",1,"legs",203,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",4938,0.041109761036857,"kg"
"80",80,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"bowl_displacement","Arko3",1,"handler",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",4938,0,"kg"
"81",81,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"bowl_displacement","Arko3",1,"hand/brightg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",4938,0,"kg"
"82",82,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"bowl_displacement","Arko3",1,"hand",1172,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",4938,0.237343053867963,"kg"
"83",83,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"bowl_displacement","Arko3",1,"face",30,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",4938,0.00607533414337789,"kg"
"84",84,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"bowl_displacement","Arko3",1,"occluder",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",4938,0,"kg"
"85",85,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"bowl_displacement","Arko3",1,"bright_green_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",4938,0,"kg"
"86",86,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"bowl_displacement","Arko3",1,"open_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",4938,0,"kg"
"87",87,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"bowl_displacement","Arko3",1,"torso",868,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",4938,0.175779667881733,"kg"
"88",88,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"bowl_displacement","Arko3",1,"dark_green_bowl",301,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",4938,0.0609558525718915,"kg"
"89",89,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"choice","Arko3",1,"hand/darkg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",3203,0,"kg"
"90",90,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"choice","Arko3",1,"hand/brightg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",3203,0,"kg"
"91",91,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"choice","Arko3",1,"open_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",3203,0,"kg"
"92",92,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"choice","Arko3",1,"occluder",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",3203,0,"kg"
"93",93,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"choice","Arko3",1,"handler",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",3203,0,"kg"
"94",94,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"choice","Arko3",1,"face",869,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",3203,0.271308148610677,"kg"
"95",95,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"choice","Arko3",1,"torso",38,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",3203,0.0118638776147362,"kg"
